Timepoint;Time;OD_repl1;OD_repl2;OD_repl3;CDW_repl1;CDW_repl2;CDW_repl3;Glucose_repl1;Glucose_repl2;Glucose_repl3;Glycerol_repl1;Glycerol_repl2;Glycerol_repl3;Acetate_repl1;Acetate_repl2;Acetate_repl3;Ethanol_repl1;Ethanol_repl2;Ethanol_repl3;Pyruvate_repl1;Pyruvate_repl2;Pyruvate_repl3;Succinate_repl1;Succinate_repl2;Succinate_repl3
t0;0;0,138;0,151;0,164;;;;22,471;22,3814;23,0464;0;0;0;0;0;0;0;0,0231;0;0;0;0;0;0;0
t2;3;0,272;0,324;0,334;0;0,14;-0,08;22,0757;22,1832;22,385;0;0;0;0;0;0;0;0,0308;0,0299;0,0008;0,0009;0,0009;0;0;0
t3;4;0,38;0,464;0,476;0,18;0,32;0,28;22,1845;22,1611;22,3537;0;0;0;0;0;0;0,017;0,0169;0;0,0014;0,0017;0,0017;0;0;0
t4;4,75;0,525;0,68;0,685;0,34;0,4;0,4;22,0609;21,9874;22,0281;0;0,0083;0;0;0;0;0;0;0,0293;0,0021;0,0039;0,0038;0;0;0
t6;6,5;1,24;1,54;1,57;0,56;0,8;0,94;21,4971;21,031;21,3816;0;0;0;0;0;0;0,0177;0,0258;0,0229;0,0061;0,0069;0,0071;0;0;0
t7;7,25;1,74;2,16;2,1;0,96;1,16;1,22;21,2481;20,5992;20,7439;0,0029;0,0023;0,0026;0;0;0;0,0167;0,0277;0,0208;0,0076;0,0086;0,0089;0;0;0
t8;8,25;2,74;3,4;3,54;1,36;1,94;1,9;19,891;19,3177;19,2514;0,0022;0,0015;0,0015;0;0;0;0,0213;0,0263;0,0272;0,0102;0,0108;0,0121;0;0;0
t9;9;3,94;4,88;5,12;2,18;2,86;3,02;18,4169;17,7956;17,7535;0;0;0;0;0;0;0,0261;0,0255;0,0129;0,013;0,0125;0,0152;0;0;0
t10;10;6,35;8;8,35;3,54;4,38;4,44;16,5744;15,1232;15,0096;0;0;0;0;0;0;0,023;0,0281;0,0216;0,0167;0,0144;0,0204;0,0011;0,0011;0,0009
t11;10,75;9,25;11,45;11,95;5,033333333;6,2;6,866666667;13,5663;11,6783;11,2613;0;0;0;0;0;0;0,0277;0,0316;0,0323;0,0212;0,0157;0,024;0,0003;0,0018;0,0026
t12;11,75;13,5;17,9;18,7;8,2;9,1;10,3;8,6859;5,3847;4,5969;0;0;0;0;0;0;0,0282;0,0316;0,0333;0,0244;0,0167;0,0278;0,0025;0,0028;0,0028
t13;12,75;21,1;21,8;22;12,35;12,9;13,15;1,0205;0,0445;0;0;0;0;0;0;0;0,0382;0,0257;0,0254;0,0289;0,0038;0,0122;0,0039;0,0092;0,0027
t14;14,25;21,7;21,4;22,4;12,5;11,9;12,55;0;0;0;0;0;0;0;0;0;0,1681;0,0034;0,0345;0;0;0;0;0;0
t15;15,25;21,4;21,1;22,5;11,4;11,5;11,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0